2020-12-04 16:23:33 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:33 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:33 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:33 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:33 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:33 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:33 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:33 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:33 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:33 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:33 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:34 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:34 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
